".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"a001_0_0_max",0,Inf,Inf,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a002_0.071_0_max",0,Inf,Inf,0.071,0.071,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a003_0.143_0_max",0,Inf,Inf,0.143,0.143,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a004_0.214_0_max",0,Inf,Inf,0.214,0.214,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a005_0.286_0_max",0,Inf,Inf,0.286,0.286,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a006_0.357_0_max",0,Inf,Inf,0.357,0.357,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a007_0.429_0_max",0,Inf,Inf,0.429,0.429,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a008_0.5_0_max",0,Inf,Inf,0.5,0.5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a009_0.571_0_max",0,Inf,Inf,0.571,0.571,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a010_0.643_0_max",0,Inf,Inf,0.643,0.643,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a011_0.714_0_max",0,Inf,Inf,0.714,0.714,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a012_0.786_0_max",0,Inf,Inf,0.786,0.786,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a013_0.857_0_max",0,Inf,Inf,0.857,0.857,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a014_0.929_0_max",0,Inf,Inf,0.929,0.929,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a015_1_0_max",0,Inf,Inf,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"a016_0_0.071_max",0,Inf,Inf,0,0,0.071,0.071,0.071,1,1,1,1,1,1,1,1,1,1,1,1
"a017_0.071_0.071_max",0,Inf,Inf,0.071,0.071,0.071,0.071,0.071,1,1,1,1,1,1,1,1,1,1,1,1
"a018_0.143_0.071_max",0,Inf,Inf,0.143,0.143,0.071,0.071,0.071,1,1,1,1,1,1,1,1,1,1,1,1
"a019_0.214_0.071_max",0,Inf,Inf,0.214,0.214,0.071,0.071,0.071,1,1,1,1,1,1,1,1,1,1,1,1
"a020_0.286_0.071_max",0,Inf,Inf,0.286,0.286,0.071,0.071,0.071,1,1,1,1,1,1,1,1,1,1,1,1
